Presentasi **Pemanasan Global** berhasil dibuat!

**File:** `~/Pemanasan_Global.pptx` (46 KB, 10 slide)

**Struktur Presentasi:**

| Slide | Judul |
|-------|-------|
| 1 | Title Slide - Pemanasan Global |
| 2 | Daftar Isi |
| 3 | Apa Itu Pemanasan Global? (termasuk mekanisme greenhouse effect) |
| 4 | Penyebab Utama (4 kartu: bahan bakar fosil, deforestasi, pertanian, industri) |
| 5 | Jenis Gas Rumah Kaca (tabel perbandingan CO2, CH4, N2O, F-gas) |
| 6 | Dampak terhadap Lingkungan |
| 7 | Dampak terhadap Manusia (kesehatan, ekonomi, sosial) |
| 8 | Data & Statistik Penting |
| 9 | Solusi & Aksi Nyata |
| 10 | Kesimpulan & Harapan |

Desain menggunakan tema gelap profesional dengan aksen oranye dan biru navy.
